證券代碼,簡稱,年月日,成交量(千股),報酬率％,本益比-TEJ
2305   ,全友         ,20231017,     1180,     1.5556,          -
2809   ,京城銀       ,20231018,     5294,     1.4417,    11.5941
2305   ,全友         ,20231018,      812,    -2.4070,          -
2809   ,京城銀       ,20231019,     2312,    -1.0336,    11.4743
2305   ,全友         ,20231019,     1118,     3.5874,          -
2809   ,京城銀       ,20231020,     1606,    -0.9138,    11.3694
2305   ,全友         ,20231020,     6587,     9.9567,          -
2809   ,京城銀       ,20231023,      793,    -0.6588,    11.2945
2305   ,全友         ,20231023,    14264,    -4.7244,          -
2809   ,京城銀       ,20231024,      761,     0.1326,    11.3095
2305   ,全友         ,20231024,    11646,     9.9174,          -
2809   ,京城銀       ,20231025,     1155,    -0.3974,    11.2646
2305   ,全友         ,20231025,     9272,    -3.1955,          -
2809   ,京城銀       ,20231026,      897,    -0.2660,    11.2346
2305   ,全友         ,20231026,     5399,    -3.3010,          -
2809   ,京城銀       ,20231027,      703,     0.2667,    11.2646
2305   ,全友         ,20231027,     9395,     1.4056,          -
2809   ,京城銀       ,20231030,      468,    -0.1330,    11.2496
2305   ,全友         ,20231030,     2887,    -1.3861,          -
2809   ,京城銀       ,20231031,     1892,    -1.0652,    11.1298
2305   ,全友         ,20231031,     3915,    -1.8072,          -
2809   ,京城銀       ,20231101,     1133,     0.0000,    11.1298
2305   ,全友         ,20231101,     3290,    -1.0225,          -
2809   ,京城銀       ,20231102,      932,     0.4038,    11.1747
2305   ,全友         ,20231102,     3040,     0.2066,          -
2809   ,京城銀       ,20231103,     1182,     1.2064,    11.3095
2305   ,全友         ,20231103,     2217,    -0.6186,          -
2809   ,京城銀       ,20231106,     1589,     0.6623,    11.3844
2305   ,全友         ,20231106,     1906,     2.0747,          -
2809   ,京城銀       ,20231107,     1502,     0.7895,    11.4743
2305   ,全友         ,20231107,     2803,     0.4065,          -
2809   ,京城銀       ,20231108,     2454,     1.3055,    11.6241
2305   ,全友         ,20231108,     2360,     0.6073,          -
